image_path	question	answer	gt
V: ['/content/data/coco/val2014/COCO_val2014_000000288042.jpg']	Is there a pizza in the image?	No, there is no pizza in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000288042.jpg']	Is there an umbrella in the image?	Yes, there is an umbrella	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000288042.jpg']	Is there a train in the image?	Yes, there is a train traveling	No
V: ['/content/data/coco/val2014/COCO_val2014_000000270609.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000270609.jpg']	Is there a tennis racket in the image?	No, there is no tennis racket	No
V: ['/content/data/coco/val2014/COCO_val2014_000000270609.jpg']	Is there a dining table in the image?	Yes, there is a dining table	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000270609.jpg']	Is there a laptop in the image?	No, there is no laptop in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000270609.jpg']	Is there a chair in the image?	Yes, there is a chair in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000270609.jpg']	Is there a cat in the image?	No, there is no cat in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000208028.jpg']	Is there a keyboard in the image?	Yes, there is a keyboard in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000208028.jpg']	Is there a zebra in the image?	No, there is no zebra	No
V: ['/content/data/coco/val2014/COCO_val2014_000000208028.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000208028.jpg']	Is there a bus in the image?	No, there is no bus in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000208028.jpg']	Is there a laptop in the image?	No, there is no laptop in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000208028.jpg']	Is there a clock in the image?	No, there is no clock in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000314992.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000314992.jpg']	Is there a parking meter in the image?	No, there is no parking meter	No
V: ['/content/data/coco/val2014/COCO_val2014_000000314992.jpg']	Is there a handbag in the image?	Yes, there is a handbag in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000314992.jpg']	Is there a toothbrush in the image?	No, there is no toothbr	No
V: ['/content/data/coco/val2014/COCO_val2014_000000314992.jpg']	Is there a cell phone in the image?	Yes, there is a cell phone in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000314992.jpg']	Is there a stop sign in the image?	No, there is no stop sign in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000424642.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000424642.jpg']	Is there a bed in the image?	No, there is no bed in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000424642.jpg']	Is there a bottle in the image?	No, there is no bottle in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000424642.jpg']	Is there a remote in the image?	No, there is no remote in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000424642.jpg']	Is there a frisbee in the image?	Yes, there is a frisbe	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000424642.jpg']	Is there a hot dog in the image?	No, there is no hot dog in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000467176.jpg']	Is there a tv in the image?	Yes, there is a television in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000467176.jpg']	Is there a donut in the image?	No, there is no donut in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000467176.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000467176.jpg']	Is there a sink in the image?	No, there is no sink in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000467176.jpg']	Is there a couch in the image?	Yes, there is a couch in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000467176.jpg']	Is there a zebra in the image?	No, there is no zebra	No
V: ['/content/data/coco/val2014/COCO_val2014_000000087435.jpg']	Is there a motorcycle in the image?	Yes, there is a motorcycle in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000087435.jpg']	Is there a dog in the image?	No, there is no dog in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000087435.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000087435.jpg']	Is there a book in the image?	Yes, there is a book in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000087435.jpg']	Is there a car in the image?	Yes, there is a car in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000087435.jpg']	Is there a tv in the image?	Yes, there is a TV in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000079446.jpg']	Is there a sink in the image?	Yes, there is a sink in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000079446.jpg']	Is there a dog in the image?	No, there is no dog in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000079446.jpg']	Is there a bottle in the image?	Yes, there is a bottle in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000079446.jpg']	Is there a bicycle in the image?	No, there is no bicycle	No
V: ['/content/data/coco/val2014/COCO_val2014_000000079446.jpg']	Is there a toilet in the image?	Yes, there is a toilet	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000079446.jpg']	Is there a suitcase in the image?	No, there is no suitcase in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000354398.jpg']	Is there a dog in the image?	Yes, there is a dog in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000354398.jpg']	Is there a couch in the image?	No, there is no couch in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000354398.jpg']	Is there a truck in the image?	Yes, there is a truck in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000354398.jpg']	Is there a frisbee in the image?	No, there is no frisbe	No
V: ['/content/data/coco/val2014/COCO_val2014_000000354398.jpg']	Is there a person in the image?	Yes, there is a man in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000354398.jpg']	Is there a suitcase in the image?	Yes, there is a suitcase in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000430052.jpg']	Is there a vase in the image?	Yes, there is a vase in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000430052.jpg']	Is there a tennis racket in the image?	No, there is no tennis racket	No
V: ['/content/data/coco/val2014/COCO_val2014_000000430052.jpg']	Is there a bird in the image?	Yes, there is a bird in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000430052.jpg']	Is there a surfboard in the image?	No, there is no surfboard	No
V: ['/content/data/coco/val2014/COCO_val2014_000000430052.jpg']	Is there a bottle in the image?	Yes, there is a bottle in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000430052.jpg']	Is there a cow in the image?	No, there is no cow in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000567886.jpg']	Is there a teddy bear in the image?	Yes, there is a teddy bear	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000567886.jpg']	Is there a sink in the image?	No, there is no sink in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000567886.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000567886.jpg']	Is there a sports ball in the image?	No, there is no sports ball in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000567886.jpg']	Is there a book in the image?	Yes, there is a book in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000567886.jpg']	Is there a bowl in the image?	No, there is no bowl in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000539251.jpg']	Is there a sink in the image?	Yes, there is a sink in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000539251.jpg']	Is there a kite in the image?	No, there is no kite in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000539251.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000539251.jpg']	Is there a book in the image?	No, there is no book in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000539251.jpg']	Is there a potted plant in the image?	Yes, there is a potted plant	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000539251.jpg']	Is there a train in the image?	No, there is no train in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000551908.jpg']	Is there a broccoli in the image?	Yes, there is a broccoli	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000551908.jpg']	Is there a truck in the image?	No, there is no truck in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000551908.jpg']	Is there a carrot in the image?	Yes, there is a carrot in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000551908.jpg']	Is there a bus in the image?	No, there is no bus in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000551908.jpg']	Is there a bed in the image?	No, there is no bed in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000551908.jpg']	Is there a giraffe in the image?	No, there is no giraffe	No
V: ['/content/data/coco/val2014/COCO_val2014_000000102906.jpg']	Is there a traffic light in the image?	Yes, there is a traffic light in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000102906.jpg']	Is there a zebra in the image?	No, there is no zebra	No
V: ['/content/data/coco/val2014/COCO_val2014_000000102906.jpg']	Is there a car in the image?	Yes, there is a car in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000102906.jpg']	Is there a fork in the image?	No, there is no fork in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000102906.jpg']	Is there a fire hydrant in the image?	Yes, there is a yellow fire hyd	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000102906.jpg']	Is there an oven in the image?	No, there is no oven in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000327771.jpg']	Is there a vase in the image?	Yes, there is a vase in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000327771.jpg']	Is there a truck in the image?	No, there is no truck in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000327771.jpg']	Is there a bed in the image?	Yes, there is a bed in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000327771.jpg']	Is there an apple in the image?	No, there is no apple in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000327771.jpg']	Is there a dining table in the image?	No, there is no dining table	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000327771.jpg']	Is there a cow in the image?	No, there is no cow in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000280734.jpg']	Is there a pizza in the image?	Yes, there is a pizza in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000280734.jpg']	Is there an umbrella in the image?	No, there is no umbrella	No
V: ['/content/data/coco/val2014/COCO_val2014_000000280734.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000280734.jpg']	Is there a fork in the image?	No, there is no fork in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000280734.jpg']	Is there a dining table in the image?	Yes, there is a dining table	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000280734.jpg']	Is there a sandwich in the image?	No, there is no sandwich in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000111817.jpg']	Is there a person in the image?	No, there is no person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000111817.jpg']	Is there an orange in the image?	No, there is no orange in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000111817.jpg']	Is there a cup in the image?	Yes, there is a cup in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000111817.jpg']	Is there a bench in the image?	No, there is no bench in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000111817.jpg']	Is there a cake in the image?	Yes, there is a cake in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000111817.jpg']	Is there a sheep in the image?	No, there is no sheep in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000379162.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000379162.jpg']	Is there a bus in the image?	No, there is no bus in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000379162.jpg']	Is there a handbag in the image?	Yes, there is a handbag in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000379162.jpg']	Is there a truck in the image?	No, there is no truck in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000379162.jpg']	Is there a bottle in the image?	Yes, there is a bottle in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000379162.jpg']	Is there a bed in the image?	No, there is no bed in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000489728.jpg']	Is there a bowl in the image?	Yes, there is a bowl in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000489728.jpg']	Is there a wine glass in the image?	Yes, there is a wine glass in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000489728.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000489728.jpg']	Is there a tie in the image?	Yes, there is a tie in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000489728.jpg']	Is there a laptop in the image?	Yes, there is a laptop in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000489728.jpg']	Is there a boat in the image?	No, there is no boat in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000419453.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000419453.jpg']	Is there a bottle in the image?	No, there is no bottle in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000419453.jpg']	Is there a sports ball in the image?	Yes, there is a sports ball in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000419453.jpg']	Is there a pizza in the image?	No, there is no pizza in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000419453.jpg']	Is there an umbrella in the image?	Yes, there is an umbrella	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000419453.jpg']	Is there a sandwich in the image?	No, there is no sandwich in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000358255.jpg']	Is there a teddy bear in the image?	Yes, there is a teddy bear	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000358255.jpg']	Is there a carrot in the image?	No, there is no carrot in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000358255.jpg']	Is there a person in the image?	Yes, there is a person sleeping	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000358255.jpg']	Is there a cake in the image?	No, there is no cake in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000358255.jpg']	Is there a bed in the image?	Yes, there is a bed in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000358255.jpg']	Is there a bottle in the image?	Yes, there is an empty bottle	No
V: ['/content/data/coco/val2014/COCO_val2014_000000178078.jpg']	Is there a motorcycle in the image?	Yes, there is a motorcycle in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000178078.jpg']	Is there a kite in the image?	No, there is no kite in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000178078.jpg']	Is there a car in the image?	Yes, there is a car in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000178078.jpg']	Is there a bowl in the image?	No, there is no bowl in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000178078.jpg']	Is there a bicycle in the image?	No, there is no bicycle	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000178078.jpg']	Is there a laptop in the image?	No, there is no laptop in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000197219.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000197219.jpg']	Is there a scissors in the image?	No, there are no scissors	No
V: ['/content/data/coco/val2014/COCO_val2014_000000197219.jpg']	Is there a handbag in the image?	Yes, there is a handbag in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000197219.jpg']	Is there a snowboard in the image?	No, there is no snowboard in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000197219.jpg']	Is there a dining table in the image?	Yes, there is a dining table	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000197219.jpg']	Is there a bear in the image?	No, there is no bear in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000460931.jpg']	Is there a donut in the image?	Yes, there is a donut in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000460931.jpg']	Is there a cup in the image?	No, there is no cup in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000460931.jpg']	Is there a cake in the image?	Yes, there is a cake in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000460931.jpg']	Is there a cow in the image?	No, there is no cow in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000460931.jpg']	Is there a person in the image?	No, there is no person visible in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000460931.jpg']	Is there a motorcycle in the image?	No, there is no motorcycle in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000506483.jpg']	Is there a backpack in the image?	Yes, there is a backpack in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000506483.jpg']	Is there a chair in the image?	Yes, there is a chair in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000506483.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000506483.jpg']	Is there a tennis racket in the image?	No, there is no tennis racket	No
V: ['/content/data/coco/val2014/COCO_val2014_000000506483.jpg']	Is there a car in the image?	Yes, there is a car in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000506483.jpg']	Is there a motorcycle in the image?	Yes, there is a motorcycle in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000468934.jpg']	Is there a banana in the image?	No, there is no banana in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000468934.jpg']	Is there a remote in the image?	No, there is no remote in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000468934.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000468934.jpg']	Is there a bird in the image?	No, there is no bird in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000468934.jpg']	Is there a fork in the image?	Yes, there is a fork in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000468934.jpg']	Is there an elephant in the image?	No, there is no elephant	No
V: ['/content/data/coco/val2014/COCO_val2014_000000189694.jpg']	Is there a sink in the image?	Yes, there is a sink in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000189694.jpg']	Is there a bird in the image?	No, there is no bird in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000189694.jpg']	Is there a person in the image?	Yes, there is a person, specifically	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000189694.jpg']	Is there a banana in the image?	No, there is no banana in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000189694.jpg']	Is there a bottle in the image?	No, there is no bottle in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000189694.jpg']	Is there a bear in the image?	No, there is no bear in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000273450.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000273450.jpg']	Is there a keyboard in the image?	No, there is no keyboard in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000273450.jpg']	Is there an orange in the image?	No, there is no orange in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000273450.jpg']	Is there a train in the image?	No, there is no train in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000273450.jpg']	Is there a car in the image?	Yes, there is a car in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000273450.jpg']	Is there a carrot in the image?	No, there is no carrot in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000278226.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000278226.jpg']	Is there a toilet in the image?	No, there is no toilet	No
V: ['/content/data/coco/val2014/COCO_val2014_000000278226.jpg']	Is there a couch in the image?	Yes, there is a couch in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000278226.jpg']	Is there a train in the image?	No, there is no train in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000278226.jpg']	Is there a laptop in the image?	Yes, there is a laptop in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000278226.jpg']	Is there a bird in the image?	No, there is no bird in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000449432.jpg']	Is there a backpack in the image?	Yes, there is a backpack in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000449432.jpg']	Is there an orange in the image?	No, there is no orange in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000449432.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000449432.jpg']	Is there a tennis racket in the image?	No, there is no tennis racket	No
V: ['/content/data/coco/val2014/COCO_val2014_000000449432.jpg']	Is there a handbag in the image?	Yes, there is a handbag in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000449432.jpg']	Is there a refrigerator in the image?	No, there is no refriger	No
V: ['/content/data/coco/val2014/COCO_val2014_000000153300.jpg']	Is there a spoon in the image?	Yes, there is a spoon in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000153300.jpg']	Is there a toaster in the image?	Yes, there is a toaster in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000153300.jpg']	Is there a bowl in the image?	Yes, there is a bowl in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000153300.jpg']	Is there a kite in the image?	No, there is no kite in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000153300.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000153300.jpg']	Is there a laptop in the image?	No, there is no laptop in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000506178.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000506178.jpg']	Is there a baseball glove in the image?	No, there is no baseball glove	No
V: ['/content/data/coco/val2014/COCO_val2014_000000506178.jpg']	Is there a bed in the image?	No, there is no bed in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000506178.jpg']	Is there a bus in the image?	Yes, there is a bus in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000506178.jpg']	Is there a remote in the image?	Yes, there is a remote in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000506178.jpg']	Is there a chair in the image?	Yes, there is a chair in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000249720.jpg']	Is there a backpack in the image?	Yes, there is a backpack in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000249720.jpg']	Is there a bear in the image?	No, there is no bear in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000249720.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000249720.jpg']	Is there a wine glass in the image?	No, there is no wine glass in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000249720.jpg']	Is there a traffic light in the image?	Yes, there is a traffic light in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000249720.jpg']	Is there a zebra in the image?	No, there is no zebra	No
V: ['/content/data/coco/val2014/COCO_val2014_000000205206.jpg']	Is there a traffic light in the image?	Yes, there is a traffic light in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000205206.jpg']	Is there a skateboard in the image?	No, there is no skateboard	No
V: ['/content/data/coco/val2014/COCO_val2014_000000205206.jpg']	Is there a train in the image?	Yes, there is a train in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000205206.jpg']	Is there a cake in the image?	No, there is no cake in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000205206.jpg']	Is there a car in the image?	No, there is no car in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000205206.jpg']	Is there a dining table in the image?	No, there is no dining table	No
V: ['/content/data/coco/val2014/COCO_val2014_000000018150.jpg']	Is there a backpack in the image?	Yes, there is a backpack in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000018150.jpg']	Is there a frisbee in the image?	No, there is no frisbe	No
V: ['/content/data/coco/val2014/COCO_val2014_000000018150.jpg']	Is there a person in the image?	Yes, there is a person, a	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000018150.jpg']	Is there a dog in the image?	No, there is no dog in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000018150.jpg']	Is there a couch in the image?	Yes, there is a couch in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000018150.jpg']	Is there a stop sign in the image?	No, there is no stop sign in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000303534.jpg']	Is there a tv in the image?	Yes, there is a TV in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000303534.jpg']	Is there an airplane in the image?	Yes, there is an airplane in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000303534.jpg']	Is there a backpack in the image?	Yes, there is a backpack in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000303534.jpg']	Is there a wine glass in the image?	Yes, there is a wine glass in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000303534.jpg']	Is there a chair in the image?	Yes, there is a chair in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000303534.jpg']	Is there a bowl in the image?	Yes, there is a bowl in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000278771.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000278771.jpg']	Is there a train in the image?	No, there is no train in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000278771.jpg']	Is there a sports ball in the image?	Yes, there is a sports ball,	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000278771.jpg']	Is there an apple in the image?	No, there is no apple in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000278771.jpg']	Is there a bottle in the image?	Yes, there is a bottle in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000278771.jpg']	Is there a spoon in the image?	No, there is no spoon in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000134075.jpg']	Is there a spoon in the image?	Yes, there is a spoon in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000134075.jpg']	Is there an elephant in the image?	No, there is no elephant	No
V: ['/content/data/coco/val2014/COCO_val2014_000000134075.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000134075.jpg']	Is there a boat in the image?	No, there is no boat in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000134075.jpg']	Is there a bottle in the image?	Yes, there is a bottle in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000134075.jpg']	Is there a suitcase in the image?	No, there is no suitcase in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000227204.jpg']	Is there a banana in the image?	Yes, there is a banana in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000227204.jpg']	Is there an airplane in the image?	No, there is no airplane in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000227204.jpg']	Is there a person in the image?	Yes, there is a person in the	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000227204.jpg']	Is there a cake in the image?	Yes, there is a cake in	No
V: ['/content/data/coco/val2014/COCO_val2014_000000227204.jpg']	Is there a spoon in the image?	Yes, there is a spoon in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000227204.jpg']	Is there a cat in the image?	No, there is no cat in the	No
V: ['/content/data/coco/val2014/COCO_val2014_000000124629.jpg']	Is there a person in the image?	Yes, there is a person, specifically	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000124629.jpg']	Is there a refrigerator in the image?	No, there is no refriger	No
V: ['/content/data/coco/val2014/COCO_val2014_000000124629.jpg']	Is there a sports ball in the image?	Yes, there is a sports ball in	Yes
V: ['/content/data/coco/val2014/COCO_val2014_000000124629.jpg']	Is there a surfboard in the image?	No, there is no surfboard	No
